id,name,slug,brand_id/id
car_models.id_1,500,500,car_brands.id_1
car_models.id_2,Grande Punto,grande-punto,car_brands.id_1
car_models.id_3,Punto Evo,punto-evo,car_brands.id_1
car_models.id_4,500c,500c,car_brands.id_1
car_models.id_5,695,695,car_brands.id_1
car_models.id_6,Punto,punto,car_brands.id_1
car_models.id_7,155,155,car_brands.id_2
car_models.id_8,156,156,car_brands.id_2
car_models.id_9,159,159,car_brands.id_2
car_models.id_10,164,164,car_brands.id_2
car_models.id_11,145,145,car_brands.id_2
car_models.id_12,147,147,car_brands.id_2
car_models.id_13,146,146,car_brands.id_2
car_models.id_14,Gtv,gtv,car_brands.id_2
car_models.id_15,Spider,spider,car_brands.id_2
car_models.id_16,166,166,car_brands.id_2
car_models.id_17,Gt,gt,car_brands.id_2
car_models.id_18,Crosswagon,crosswagon,car_brands.id_2
car_models.id_19,Brera,brera,car_brands.id_2
car_models.id_20,90,90,car_brands.id_2
car_models.id_21,75,75,car_brands.id_2
car_models.id_22,33,33,car_brands.id_2
car_models.id_23,Giulietta,giulietta,car_brands.id_2
car_models.id_24,Sprint,sprint,car_brands.id_2
car_models.id_25,Mito,mito,car_brands.id_2
car_models.id_26,Expander,expander,car_brands.id_3
car_models.id_27,10,10,car_brands.id_3
car_models.id_28,24,24,car_brands.id_3
car_models.id_29,Dacia,dacia,car_brands.id_3
car_models.id_30,Rocsta,rocsta,car_brands.id_4
car_models.id_31,Rocsta,rocsta,car_brands.id_5
car_models.id_32,Db7,db7,car_brands.id_6
car_models.id_33,V8,v8,car_brands.id_6
car_models.id_34,Db9,db9,car_brands.id_6
car_models.id_35,Vanquish,vanquish,car_brands.id_6
car_models.id_36,V8 Vantage,v8-vantage,car_brands.id_6
car_models.id_37,Vantage,vantage,car_brands.id_6
car_models.id_38,Dbs,dbs,car_brands.id_6
car_models.id_39,Volante,volante,car_brands.id_6
car_models.id_40,Virage,virage,car_brands.id_6
car_models.id_41,Vantage V8,vantage-v8,car_brands.id_6
